adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,poverty_incidence_2023,poverty_standard_error_2023,poverty_coefficient_of_variation_2023,poverty_ci_lower_2023,poverty_ci_upper_2023,poverty_threshold_php_2023,poverty_precision_flag,poverty_source_year,poverty_source_type,poverty_join_status,registry_clinical,osm_health,registry_gap_share,buildings_p85,underobserved_buildings_adm3_p85_proxy,gap_poverty_context_p85_proxy,poverty_source_label,poverty_source_url,area_sqkm,buildings_all,buildings_p90,building_area_m2_all,building_area_m2_p85,building_area_m2_p90,buildings_p85_per_sqkm,registry_all,registry_principal,osm_hospital,osm_clinic,osm_doctors,registry_minus_osm_clinical,osm_to_registry_clinical_ratio
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Natividad,PH0105529,11.4753,1.7632,15.3655,8.5748,14.3758,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,21,0,1.0,5042,5042,579.0,Natividad,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,94.0039,15369,1880,954675.4,541794.5,274916.7,53.64,22,2,0,0,0,21,0.0
Region VI (Western Visayas),PH06,Aklan,PH06004,Banga,PH0600403,6.1268,0.7079,11.554,4.9623,7.2912,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,12,1,0.9167,5500,5042,309.0,Banga,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,64.5139,14096,2718,1132884.1,685139.5,428662.2,85.25,13,2,0,0,1,11,0.0833
Region III (Central Luzon),PH03,Bataan,PH03008,Pilar,PH0300811,9.5292,1.1063,11.61,7.7093,11.3492,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,24,2,0.9167,5493,5035,480.0,Pilar,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,45.5533,15729,1839,1251020.4,732295.3,353673.7,120.58,32,5,1,0,1,22,0.0833
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Baroy,PH1003503,25.2764,1.7737,7.0171,22.3587,28.1941,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,21,2,0.9048,5556,5027,1271.0,Baroy,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,49.1955,10005,2513,658897.4,493403.1,303071.5,112.94,22,2,1,0,1,19,0.0952
Region XIII (Caraga),PH16,Surigao del Sur,PH16068,Carrascal,PH1606807,10.6793,1.9905,18.6387,7.405,13.9536,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,18,0,1.0,5022,5022,536.0,Carrascal,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,243.6405,10561,2671,705453.1,490393.5,336134.1,20.61,20,2,0,0,0,18,0.0
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Lopez,PH0405622,8.7902,0.8939,10.1689,7.3198,10.2607,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,39,3,0.9231,5439,5021,441.0,Lopez,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,377.3009,17313,2006,986517.1,475140.4,237011.1,14.42,41,6,3,0,0,36,0.0769
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,Damulog,PH1001302,35.357,3.3023,9.3399,29.9247,40.7892,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,19,1,0.9474,5296,5017,1774.0,Damulog,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,172.5039,10380,2038,575745.5,400501.7,216304.9,30.7,20,2,0,1,0,18,0.0526
Region XIII (Caraga),PH16,Surigao del Sur,PH16068,San Miguel,PH1606816,24.3051,2.1119,8.689,20.8311,27.7791,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,20,0,1.0,5015,5015,1219.0,San Miguel,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,653.2969,10140,2490,676680.9,434768.0,269723.2,7.68,20,3,0,0,0,20,0.0
Mimaropa Region,PH17,Oriental Mindoro,PH17052,Socorro,PH1705214,18.4721,1.3248,7.1717,16.2929,20.6513,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,29,2,0.931,5379,5008,925.0,Socorro,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,204.841,15895,2343,1059585.4,563196.7,314903.3,26.26,31,3,1,1,0,27,0.069
Region II (Cagayan Valley),PH02,Isabela,PH02031,San Agustin,PH0203127,11.8577,2.1975,18.5322,8.2428,15.4726,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,26,0,1.0,5005,5005,593.0,San Agustin,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,188.339,13828,1634,986589.0,555404.8,241312.0,26.57,27,3,0,0,0,26,0.0
Region VII (Central Visayas),PH07,Bohol,PH07012,Carmen,PH0701212,21.1883,1.456,6.8718,18.7932,23.5835,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,33,2,0.9394,5324,5001,1060.0,Carmen,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,209.4179,14165,2114,1061225.6,572437.0,300503.2,25.42,34,4,1,0,1,31,0.0606
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Siasi,PH1906612,25.3988,3.5259,13.8822,19.5987,31.1989,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,10,1,0.9,5554,4999,1270.0,Siasi,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,83.0986,9137,2300,451715.9,336059.9,178309.5,66.84,10,2,1,0,0,9,0.1
Region VIII (Eastern Visayas),PH08,Biliran,PH08078,Naval (Capital),PH0807808,13.5448,2.723,20.104,9.0654,18.0243,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,16,2,0.875,5698,4986,675.0,Naval,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,98.8239,18621,2501,1252108.3,669139.4,402936.7,57.66,24,3,1,0,1,14,0.125
Region VI (Western Visayas),PH06,Aklan,PH06004,Batan,PH0600404,12.4943,1.1095,8.8801,10.6691,14.3194,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,10,0,1.0,4984,4984,623.0,Batan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,83.8375,10803,2512,812883.8,527619.9,324112.3,59.45,10,1,0,0,0,10,0.0
Region VII (Central Visayas),PH07,Bohol,PH07012,Trinidad,PH0701244,22.8827,1.7916,7.8297,19.9354,25.83,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,23,1,0.9565,5204,4978,1139.0,Trinidad,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,142.8738,17380,2118,916440.4,476638.8,256935.2,36.42,23,3,0,0,1,22,0.0435
Mimaropa Region,PH17,Oriental Mindoro,PH17052,Baco,PH1705201,25.9018,1.9987,7.7166,22.6138,29.1897,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,29,1,0.9655,5156,4978,1289.0,Baco,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,435.0216,14074,2378,920929.8,515992.6,301981.8,11.85,30,2,0,1,0,28,0.0345
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Anda,PH0105505,15.515,2.1349,13.7606,12.003,19.027,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,20,0,1.0,4963,4963,770.0,Anda,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,77.6429,17796,1480,1180130.5,570139.3,230365.4,63.92,22,2,0,0,0,20,0.0
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Basista,PH0105509,14.7747,2.2305,15.0965,11.1056,18.4438,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,15,2,0.8667,5710,4949,731.0,Basista,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,25.596,19856,1958,1094657.3,573053.0,277650.9,223.08,17,2,0,0,2,13,0.1333
Region I (Ilocos Region),PH01,La Union,PH01033,Santo Tomas,PH0103317,8.8714,1.4349,16.1747,6.5109,11.2318,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,10,0,1.0,4941,4941,438.0,Santo Tomas,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,40.9813,17982,1687,1063412.6,564703.0,299175.5,120.57,12,2,0,0,0,10,0.0
Region VII (Central Visayas),PH07,Cebu,PH07022,Dumanjug,PH0702224,30.0616,2.6027,8.6579,25.7802,34.343,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,41,1,0.9756,5057,4934,1483.0,Dumanjug,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,85.9141,14205,2199,929400.4,542202.6,337032.5,58.86,43,3,0,0,1,40,0.0244
Region IV-A (Calabarzon),PH04,Laguna,PH04034,Alaminos,PH0403401,9.0307,1.4307,15.8431,6.6771,11.3842,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,17,3,0.8235,5981,4925,445.0,Alaminos,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,59.6487,15514,2975,1231675.7,750414.1,488391.5,100.27,19,3,0,1,2,14,0.1765
Region I (Ilocos Region),PH01,La Union,PH01033,Bangar,PH0103306,10.1377,1.4571,14.3726,7.7409,12.5346,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,12,1,0.9167,5343,4898,497.0,Bangar,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,35.2215,18004,1944,1105958.5,580216.0,286354.1,151.7,13,2,0,0,1,11,0.0833
Region XIII (Caraga),PH16,Surigao del Norte,PH16067,Socorro,PH1606723,21.0322,2.645,12.5759,16.6812,25.3833,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,12,0,1.0,4885,4885,1027.0,Socorro,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,125.971,10683,2206,617724.5,384895.0,210764.3,38.78,12,1,0,0,0,12,0.0
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Balindong (Watu),PH1903603,16.2813,2.7841,17.0997,11.7015,20.8611,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,11,0,1.0,4883,4883,795.0,Balindong (Watu),https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,39.3969,7934,2383,577201.1,445074.9,272533.4,123.94,11,3,0,0,0,11,0.0
Region III (Central Luzon),PH03,Bataan,PH03008,Limay,PH0300806,10.8925,0.9695,8.901,9.2976,12.4873,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,21,2,0.9048,5385,4872,531.0,Limay,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,60.7001,21434,1560,2022914.1,1006237.8,484772.0,88.71,28,4,0,2,0,19,0.0952
Region XIII (Caraga),PH16,Agusan del Sur,PH16003,Sibagat,PH1600314,31.8527,2.8249,8.8686,27.2058,36.4997,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,10,0,1.0,4870,4870,1551.0,Sibagat,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,727.7232,12110,2231,655055.0,379480.7,227541.4,6.69,10,2,0,0,0,10,0.0
Region VIII (Eastern Visayas),PH08,Samar (Western Samar),PH08060,Paranas (Wright),PH0806022,31.0813,1.9499,6.2735,27.8738,34.2889,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,10,0,1.0,4865,4865,1512.0,Paranas (Wright),https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,512.5377,12650,2130,701623.3,383398.9,211703.5,9.49,10,2,0,0,0,10,0.0
Region I (Ilocos Region),PH01,La Union,PH01033,Luna,PH0103310,6.9591,0.9695,13.9318,5.3642,8.554,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,12,3,0.75,6480,4860,338.0,Luna,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,40.5056,21616,2550,1266149.6,703325.1,364163.3,159.98,12,2,0,3,0,9,0.25
Region V (Bicol Region),PH05,Albay,PH05005,Libon,PH0500507,34.721,1.6691,4.8073,31.9753,37.4667,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,18,5,0.7222,6719,4852,1685.0,Libon,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,223.7231,25145,2246,1348465.6,566453.5,266459.2,30.03,18,5,2,2,1,13,0.2778
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,Pontevedra,PH0604521,20.9159,3.1437,15.0301,15.7445,26.0872,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,23,1,0.9565,5061,4841,1013.0,Pontevedra,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,111.5562,16823,2176,964665.5,500679.7,292799.7,45.37,24,2,0,1,0,22,0.0435
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Pangutaran,PH1906608,15.4967,3.9662,25.594,8.9723,22.0212,,cv_20_to_30_caution,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,14,0,1.0,4831,4831,749.0,Pangutaran,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,189.8496,7609,2109,412175.0,317427.7,172452.3,25.45,14,4,0,0,0,14,0.0
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Sur,PH19088,Datu Saudi-Ampatuan,PH1908826,64.258,10.4222,16.2194,47.1134,81.4025,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,16,1,0.9375,5148,4826,3101.0,Datu Saudi-Ampatuan,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,40.574,9493,2091,491381.9,343255.6,180788.3,126.88,16,10,1,0,0,15,0.0625
Region VII (Central Visayas),PH07,Cebu,PH07022,Medellin,PH0702231,31.156,3.3071,10.6147,25.7158,36.5962,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,23,1,0.9565,5042,4823,1503.0,Medellin,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,75.9639,15721,2177,1008271.1,541442.8,314602.7,66.37,26,4,1,0,0,22,0.0435
Region II (Cagayan Valley),PH02,Nueva Vizcaya,PH02050,Kasibu,PH0205009,10.6092,1.2406,11.6933,8.5685,12.65,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,33,1,0.9697,4960,4810,510.0,Kasibu,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,616.4214,15464,1323,955387.9,485482.0,192478.6,8.05,34,3,1,0,0,32,0.0303
Region VI (Western Visayas),PH06,Antique,PH06006,Caluya,PH0600605,22.7568,2.9513,12.9688,17.9019,27.6117,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,12,0,1.0,4810,4810,1095.0,Caluya,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,138.4366,13386,2435,885479.5,548042.9,381612.7,34.75,12,4,0,0,0,12,0.0
Region VI (Western Visayas),PH06,Iloilo,PH06030,Barotac Viejo,PH0603008,18.4306,1.3874,7.5279,16.1483,20.713,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,31,2,0.9355,5142,4810,887.0,Barotac Viejo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,180.7287,17182,2229,1131371.3,602723.3,369092.6,28.45,32,5,1,1,0,29,0.0645
Region II (Cagayan Valley),PH02,Cagayan,PH02015,Buguey,PH0201508,9.2622,1.4325,15.4658,6.9058,11.6187,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,10,0,1.0,4805,4805,445.0,Buguey,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,128.8279,14979,1385,879181.8,451711.7,179332.3,37.3,11,3,0,0,0,10,0.0
Region VI (Western Visayas),PH06,Aklan,PH06004,Kalibo (Capital),PH0600407,2.3516,0.4309,18.3252,1.6427,3.0604,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,30,19,0.3667,13101,4804,113.0,Kalibo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,40.1778,37671,6573,3082772.6,1821165.7,1159222.4,326.08,41,10,5,7,7,11,0.6333
Region V (Bicol Region),PH05,Albay,PH05005,Bacacay,PH0500501,27.8248,1.5646,5.6231,25.251,30.3986,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,16,6,0.625,7655,4784,1331.0,Bacacay,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,118.9074,26714,2824,1389379.9,625018.8,312937.3,64.38,17,5,2,4,0,10,0.375
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Bautista,PH0105510,13.4637,1.944,14.4386,10.2659,16.6615,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,21,2,0.9048,5277,4775,643.0,Bautista,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,41.3997,18011,1915,1044412.2,566612.0,297396.2,127.46,21,3,0,1,1,19,0.0952
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Barugo,PH0803706,33.8803,0.9077,2.6793,32.387,35.3735,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,11,1,0.9091,5238,4762,1613.0,Barugo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,85.2897,13601,2682,817442.9,488712.7,324505.1,61.41,11,4,1,0,0,10,0.0909
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Pamplona,PH0501726,29.9873,2.7031,9.0143,25.5406,34.434,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,21,0,1.0,4756,4756,1426.0,Pamplona,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,65.678,16521,1951,765859.0,381624.3,214398.9,72.41,21,4,0,0,0,21,0.0
Region VI (Western Visayas),PH06,Capiz,PH06019,Tapaz,PH0601917,23.2111,1.1377,4.9014,21.3396,25.0825,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,52,0,1.0,4749,4749,1102.0,Tapaz,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,523.572,14763,1907,930525.1,469691.6,253882.5,9.07,54,2,0,0,0,52,0.0
Region III (Central Luzon),PH03,Aurora,PH03077,Baler (Capital),PH0307701,7.4588,0.6132,8.221,6.4502,8.4675,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,14,2,0.8571,5538,4747,354.0,Baler,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,99.5959,19357,1862,1385222.1,711174.2,361500.4,55.6,22,5,2,0,0,12,0.1429
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Sur,PH19088,South Upi,PH1908817,57.4403,8.3308,14.5035,43.736,71.1445,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,6,0,1.0,4747,4747,2727.0,South Upi,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,441.1143,8354,1683,501341.0,355858.8,176156.4,10.76,6,3,0,0,0,6,0.0
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,La Carlota City,PH0604516,18.3403,3.6208,19.7424,12.3841,24.2965,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,18,3,0.8333,5693,4744,870.0,City of La Carlota,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,127.0788,17252,2686,1262416.4,745047.8,482688.4,44.8,25,3,1,2,0,15,0.1667
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Kalawit,PH0907227,49.5756,4.608,9.295,41.9953,57.1558,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,16,0,1.0,4744,4744,2352.0,Kalawit,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,248.8243,8329,1919,460515.2,331473.0,183333.6,19.07,16,2,0,0,0,16,0.0
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,Santa Maria,PH0102926,5.3811,0.8978,16.684,3.9042,6.8579,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,36,3,0.9167,5173,4742,255.0,Santa Maria,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,56.4875,16220,1776,1203783.3,666752.3,317272.0,91.58,40,5,2,1,0,33,0.0833
Region VI (Western Visayas),PH06,Iloilo,PH06030,Concepcion,PH0603015,24.0947,1.7894,7.4264,21.1512,27.0382,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,27,1,0.963,4915,4733,1140.0,Concepcion,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,91.3769,15091,2070,1008021.5,561504.9,336143.2,53.79,27,2,1,0,0,26,0.037
Region VI (Western Visayas),PH06,Iloilo,PH06030,Estancia,PH0603019,17.8172,1.7702,9.9352,14.9053,20.7291,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,12,3,0.75,6306,4730,843.0,Estancia,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,28.7608,19699,2485,1293322.2,692939.1,394921.6,219.26,15,2,1,1,1,9,0.25
Region V (Bicol Region),PH05,Sorsogon,PH05062,Gubat,PH0506208,29.9889,1.8072,6.0262,27.0161,32.9618,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,48,1,0.9792,4827,4727,1418.0,Gubat,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,103.508,19717,1791,1104996.6,467086.3,242992.9,46.63,50,4,1,0,0,47,0.0208
Region II (Cagayan Valley),PH02,Isabela,PH02031,San Mariano,PH0203131,18.4291,2.1371,11.5961,14.9136,21.9446,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,40,2,0.95,4968,4720,870.0,San Mariano,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,1397.2005,24880,1221,1446502.2,527303.6,192150.1,3.56,41,3,1,0,1,38,0.05
Region II (Cagayan Valley),PH02,Cagayan,PH02015,Ballesteros,PH0201507,7.2409,1.1353,15.6796,5.3732,9.1085,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,9,1,0.8889,5299,4710,341.0,Ballesteros,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,129.4299,19352,1619,1123875.8,538346.2,235383.2,40.94,11,3,1,0,0,8,0.1111
Region XI (Davao Region),PH11,Davao Occidental,PH11086,Don Marcelino,PH1108601,24.1953,2.7337,11.2984,19.6984,28.6922,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,17,0,1.0,4706,4706,1139.0,Don Marcelino,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,364.5692,11761,1421,556218.1,325127.5,161998.0,12.91,17,2,0,0,0,17,0.0
Cordillera Administrative Region (CAR),PH14,Abra,PH14001,Bangued (Capital),PH1400101,5.4114,0.7746,14.314,4.1372,6.6857,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,11,4,0.6364,7395,4706,255.0,Bangued,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,119.0642,23675,2390,1858014.7,972745.5,435431.4,62.11,24,6,1,1,2,7,0.3636
Region XIII (Caraga),PH16,Agusan del Norte,PH16002,Tubay,PH1600211,26.6354,2.7085,10.1688,22.1799,31.0909,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,14,0,1.0,4698,4698,1251.0,Tubay,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,94.7215,10709,2472,649757.2,409630.0,260275.9,49.6,14,1,0,0,0,14,0.0
Region III (Central Luzon),PH03,Bataan,PH03008,Samal,PH0300812,8.8113,1.2938,14.6837,6.683,10.9397,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,20,1,0.95,4942,4695,414.0,Samal,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,47.5132,15823,1576,1296175.4,779312.0,448268.9,104.01,23,2,0,1,0,19,0.05
Region XIII (Caraga),PH16,Agusan del Norte,PH16002,Nasipit,PH1600209,19.5182,1.7326,8.877,16.668,22.3684,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,23,2,0.913,5134,4687,915.0,Nasipit,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,108.2323,13013,2543,930202.4,559579.4,359995.9,47.44,25,3,1,1,0,21,0.087
