adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,area_sqkm,buildings_all,buildings_p85,buildings_p90,building_area_m2_all,building_area_m2_p85,building_area_m2_p90,buildings_p85_per_sqkm,registry_all,registry_principal,registry_clinical,osm_health,osm_hospital,osm_clinic,osm_doctors,registry_minus_osm_clinical,osm_to_registry_clinical_ratio,registry_gap_share,underobserved_buildings_adm3_p85_proxy
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,Talugtug,PH0304931,106.8917,13697,3868,1230,979601.8,539735.0,285862.3,36.19,6,1,6,0,0,0,0,6,0.0,1.0,3868
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Dolores,PH0405615,65.9686,11539,4082,2110,766761.0,460935.8,307995.5,61.88,19,4,19,1,0,1,0,18,0.0526,0.9474,3867
Region I (Ilocos Region),PH01,Ilocos Norte,PH01028,San Nicolas,PH0102820,41.9441,21753,7726,3118,1624491.8,1046288.9,614844.6,184.2,18,3,12,6,5,1,0,6,0.5,0.5,3863
Region VII (Central Visayas),PH07,Bohol,PH07012,Mabini,PH0701231,96.7776,8705,4115,2026,595686.7,380201.9,230728.5,42.52,17,2,16,1,0,0,1,15,0.0625,0.9375,3858
Region XIII (Caraga),PH16,Surigao del Norte,PH16067,Placer,PH1606717,64.4445,11194,4433,2177,663923.2,390303.1,241173.5,68.79,24,2,23,3,2,0,1,20,0.1304,0.8696,3855
Region VII (Central Visayas),PH07,Negros Oriental,PH07046,Amlan (Ayuquitan),PH0704601,59.2675,10467,3852,1872,649205.0,390712.8,248910.6,64.99,12,2,10,0,0,0,0,10,0.0,1.0,3852
Mimaropa Region,PH17,Palawan,PH17053,San Vicente,PH1705319,604.27,13036,4489,1923,746539.1,403256.9,229735.7,7.43,14,4,14,2,1,1,0,12,0.1429,0.8571,3848
Region VII (Central Visayas),PH07,Bohol,PH07012,San Miguel,PH0701238,107.3643,13682,4024,1589,762969.1,379184.1,195272.5,37.48,23,3,21,1,0,1,0,20,0.0476,0.9524,3832
Region IV-A (Calabarzon),PH04,Laguna,PH04034,Los Baños,PH0403411,55.5462,36469,15325,8458,3002849.4,2027822.3,1430970.2,275.9,26,9,20,15,3,4,8,5,0.75,0.25,3831
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Saguiaran,PH1903625,33.5013,7715,4378,2154,533478.3,392916.9,240755.1,130.68,8,2,8,1,0,1,0,7,0.125,0.875,3831
Region V (Bicol Region),PH05,Masbate,PH05041,Mobo,PH0504113,150.3117,11121,3829,1524,621641.9,336592.5,191686.8,25.47,27,2,27,0,0,0,0,27,0.0,1.0,3829
Region VI (Western Visayas),PH06,Capiz,PH06019,Jamindan,PH0601906,471.6903,12090,4362,1796,811334.0,452591.7,250893.4,9.25,33,3,32,4,4,0,0,28,0.125,0.875,3817
Mimaropa Region,PH17,Palawan,PH17053,Quezon,PH1705317,935.1198,25155,4294,1181,1376836.2,433060.1,121586.8,4.59,20,3,18,2,2,0,0,16,0.1111,0.8889,3817
Region I (Ilocos Region),PH01,Ilocos Norte,PH01028,Badoc,PH0102803,80.684,16422,4902,1682,1021838.1,536225.6,258064.9,60.76,9,2,9,2,0,2,0,7,0.2222,0.7778,3813
Region XIII (Caraga),PH16,Surigao del Sur,PH16068,Madrid,PH1606813,143.2398,7959,3808,2089,584021.1,396544.2,267348.3,26.58,19,3,17,0,0,0,0,17,0.0,1.0,3808
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Guipos,PH0907343,96.8881,8291,4559,1724,486450.9,336871.4,179128.4,47.05,6,2,6,1,0,0,1,5,0.1667,0.8333,3799
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Buenavista,PH0405605,171.3437,10967,3796,1473,526038.9,267777.8,132229.4,22.15,6,1,6,0,0,0,0,6,0.0,1.0,3796
Region I (Ilocos Region),PH01,Ilocos Sur,PH01029,Caoayan,PH0102907,17.5166,12193,3791,1407,674681.5,378083.0,198725.0,216.42,19,3,18,0,0,0,0,18,0.0,1.0,3791
Region IV-A (Calabarzon),PH04,Laguna,PH04034,Victoria,PH0403430,29.2692,13034,4170,1874,1012507.5,531927.9,314069.7,142.47,12,2,11,1,0,1,0,10,0.0909,0.9091,3791
Region VII (Central Visayas),PH07,Cebu,PH07022,Borbon,PH0702213,91.314,12973,3788,1491,727053.1,361625.0,208643.7,41.48,21,2,21,0,0,0,0,21,0.0,1.0,3788
Region VII (Central Visayas),PH07,Negros Oriental,PH07046,Ayungon,PH0704602,248.5217,10832,3786,1363,675160.4,341775.8,169623.1,15.23,27,1,25,0,0,0,0,25,0.0,1.0,3786
Region II (Cagayan Valley),PH02,Isabela,PH02031,San Pablo,PH0203133,450.3882,12125,3783,1179,769086.6,397100.6,173780.2,8.4,17,1,17,0,0,0,0,17,0.0,1.0,3783
Region XI (Davao Region),PH11,Davao Oriental,PH11025,Boston,PH1102503,376.3395,8556,3779,1348,454851.0,270157.1,130507.0,10.04,10,1,9,0,0,0,0,9,0.0,1.0,3779
Region VI (Western Visayas),PH06,Antique,PH06006,Sibalom,PH0600616,234.6474,15323,3998,1462,1123934.5,493534.2,260408.4,17.04,38,3,36,2,1,0,1,34,0.0556,0.9444,3776
Region III (Central Luzon),PH03,Aurora,PH03077,Dipaculao,PH0307706,400.6593,14658,3954,1089,930841.5,433904.5,172346.0,9.87,22,1,22,1,0,0,1,21,0.0455,0.9545,3774
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Tongkil,PH1906615,128.073,6226,3772,1565,266746.2,193434.2,102199.7,29.45,11,2,11,0,0,0,0,11,0.0,1.0,3772
Mimaropa Region,PH17,Romblon,PH17059,Odiongan,PH1705909,136.5959,11510,4348,1913,940483.9,531871.8,306070.7,31.83,37,7,30,4,3,0,1,26,0.1333,0.8667,3768
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Maigo,PH1003512,90.8765,7211,4054,1699,478502.7,357700.1,202388.5,44.61,14,2,14,1,0,0,1,13,0.0714,0.9286,3765
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,Licab,PH0304914,64.4574,15092,4839,1762,857483.1,474999.5,229468.4,75.07,11,2,9,2,0,0,2,7,0.2222,0.7778,3764
Region V (Bicol Region),PH05,Masbate,PH05041,Palanas,PH0504115,130.6427,10463,3889,1433,536037.6,286330.0,139919.8,29.77,29,4,29,1,0,1,0,28,0.0345,0.9655,3755
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Norte,PH19087,Kabuntalan (Tumbao),PH1908714,87.6071,5553,3751,2078,273549.8,222525.6,147349.1,42.82,12,2,12,0,0,0,0,12,0.0,1.0,3751
Region II (Cagayan Valley),PH02,Cagayan,PH02015,Piat,PH0201520,132.0298,13285,4246,1289,901882.4,485363.1,214949.6,32.16,18,3,17,2,1,1,0,15,0.1176,0.8824,3747
Region V (Bicol Region),PH05,Albay,PH05005,Tiwi,PH0500518,126.8456,20873,4188,1309,1046260.5,377789.5,180506.9,33.02,21,8,19,2,1,1,0,17,0.1053,0.8947,3747
Cordillera Administrative Region (CAR),PH14,Ifugao,PH14027,Aguinaldo,PH1402708,450.1067,12414,3864,972,544741.3,284797.7,108256.9,8.58,32,11,32,1,1,0,0,31,0.0312,0.9688,3743
Region II (Cagayan Valley),PH02,Cagayan,PH02015,Iguig,PH0201515,78.1855,15431,4116,1099,1085302.2,536257.7,260175.9,52.64,13,2,11,1,0,0,1,10,0.0909,0.9091,3742
Region V (Bicol Region),PH05,Sorsogon,PH05062,Irosin,PH0506209,134.3748,17213,4295,1543,1072952.6,445229.0,218258.5,31.96,30,6,30,4,4,0,0,26,0.1333,0.8667,3722
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,Laur,PH0304913,156.2527,13492,3718,1028,872462.4,411009.0,170255.0,23.79,14,1,11,0,0,0,0,11,0.0,1.0,3718
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Sual,PH0105542,132.6815,16208,3966,1191,1157030.6,564662.4,284659.5,29.89,16,3,15,1,0,1,0,14,0.0667,0.9333,3701
Region VIII (Eastern Visayas),PH08,Southern Leyte,PH08064,Bontoc,PH0806402,124.9373,10442,4163,2004,652376.9,380159.7,237233.7,33.32,9,2,9,1,0,0,1,8,0.1111,0.8889,3700
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Special Geographic Area,PH19099,Special Geographic Area - Pikit III,PH1909908,57.5168,6931,3693,1651,392797.3,280909.7,152192.6,64.21,8,2,8,0,0,0,0,8,0.0,1.0,3693
Region IX (Zamboanga Peninsula),PH09,Zamboanga Sibugay,PH09083,Imelda,PH0908304,84.6399,8399,4348,1651,514748.4,365696.5,213411.6,51.37,14,3,13,2,0,1,1,11,0.1538,0.8462,3679
Region XIII (Caraga),PH16,Agusan del Norte,PH16002,Jabonga,PH1600205,271.8133,9049,3661,1730,501507.9,292135.4,173926.4,13.47,18,3,18,0,0,0,0,18,0.0,1.0,3661
Region II (Cagayan Valley),PH02,Nueva Vizcaya,PH02050,Quezon,PH0205011,212.249,13396,3658,1020,743500.9,359129.1,150227.2,17.23,14,2,13,0,0,0,0,13,0.0,1.0,3658
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Lugait,PH1004316,38.4832,8277,4572,2003,501532.9,381767.3,251954.8,118.81,10,2,10,2,0,2,0,8,0.2,0.8,3658
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Sur,PH19088,Shariff Saydona Mustapha,PH1908837,55.9158,6329,3657,1568,322232.6,238625.0,130637.3,65.4,11,4,11,0,0,0,0,11,0.0,1.0,3657
Region II (Cagayan Valley),PH02,Cagayan,PH02015,Lasam,PH0201517,206.9645,18364,3773,859,1199266.0,434743.0,145781.5,18.23,35,2,32,1,1,0,0,31,0.0312,0.9688,3655
Region III (Central Luzon),PH03,Nueva Ecija,PH03049,Carranglan,PH0304905,734.486,17474,4112,963,1052909.9,430206.5,159019.9,5.6,9,3,9,1,1,0,0,8,0.1111,0.8889,3655
Region VI (Western Visayas),PH06,Capiz,PH06019,Mambusao,PH0601908,102.7866,9208,3793,1833,682205.3,423708.5,260337.2,36.9,30,3,27,1,1,0,0,26,0.037,0.963,3653
Region VIII (Eastern Visayas),PH08,Northern Samar,PH08048,Catubig,PH0804806,242.0367,11438,4055,1757,560242.9,288719.4,165376.5,16.75,10,3,10,1,1,0,0,9,0.1,0.9,3650
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Magsaysay (Linugos),PH1004317,112.1228,10341,3800,1623,622236.1,343612.2,201074.8,33.89,27,3,25,1,1,0,0,24,0.04,0.96,3648
Region II (Cagayan Valley),PH02,Cagayan,PH02015,Santo Niño (Faire),PH0201526,361.2616,13852,3644,985,869923.1,390810.6,153713.5,10.09,33,2,33,0,0,0,0,33,0.0,1.0,3644
Region VI (Western Visayas),PH06,Aklan,PH06004,Malay,PH0600412,72.1936,21372,6764,3081,1684019.2,976074.1,605319.0,93.69,21,5,13,6,4,2,0,7,0.4615,0.5385,3642
Region II (Cagayan Valley),PH02,Nueva Vizcaya,PH02050,Villaverde,PH0205014,67.8159,12014,3637,1082,806309.4,404449.8,169032.6,53.63,13,2,11,0,0,0,0,11,0.0,1.0,3637
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Basilan,PH19007,Lantawan,PH1900703,149.6705,6150,3802,1823,301725.0,228514.5,136613.5,25.4,23,1,23,1,0,0,1,22,0.0435,0.9565,3637
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Bato,PH0803707,70.3067,10403,4441,2225,681611.3,421766.6,274561.9,63.17,15,3,11,2,0,1,1,9,0.1818,0.8182,3634
Region VI (Western Visayas),PH06,Capiz,PH06019,Ma-ayon,PH0601907,188.8177,12687,3631,1395,760473.5,351388.0,187117.7,19.23,31,2,30,0,0,0,0,30,0.0,1.0,3631
Region VII (Central Visayas),PH07,Cebu,PH07022,Sogod,PH0702247,111.9479,12666,3809,1525,690058.4,348115.9,201717.4,34.02,24,3,21,1,1,0,0,20,0.0476,0.9524,3628
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Dasol,PH0105519,177.5816,14599,3821,1118,1087204.2,554666.1,281792.2,21.52,19,2,19,1,1,0,0,18,0.0526,0.9474,3620
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Caramoan,PH0501711,273.6764,15013,3691,1228,723441.0,288422.5,136219.6,13.49,52,3,52,1,1,0,0,51,0.0192,0.9808,3620
Region V (Bicol Region),PH05,Albay,PH05005,City of Tabaco,PH0500517,118.4957,44220,11515,4034,2408390.4,1078137.0,561746.0,97.18,44,17,35,24,7,14,3,11,0.6857,0.3143,3619
Region V (Bicol Region),PH05,Camarines Norte,PH05016,Basud,PH0501601,265.5622,16073,3615,1091,864449.0,343396.1,153666.6,13.61,30,1,30,0,0,0,0,30,0.0,1.0,3615
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,La Castellana,PH0604517,215.8352,14836,3995,1637,768643.1,343189.0,190366.1,18.51,22,3,21,2,0,1,1,19,0.0952,0.9048,3615
Region VI (Western Visayas),PH06,Iloilo,PH06030,Calinog,PH0603013,134.7169,17447,5914,2529,1281352.7,704403.7,412393.1,43.9,23,3,18,7,1,1,5,11,0.3889,0.6111,3614
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Salvador,PH1003518,91.9223,6771,3614,1368,424330.6,303148.1,166431.9,39.32,11,2,11,0,0,0,0,11,0.0,1.0,3614
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Old Panamao,PH1906607,64.2475,5468,3614,1860,337022.5,271289.3,167395.3,56.25,9,2,9,0,0,0,0,9,0.0,1.0,3614
Region II (Cagayan Valley),PH02,Isabela,PH02031,Santo Tomas,PH0203136,77.2959,12290,3608,1079,734053.3,358903.8,150085.0,46.68,28,1,27,0,0,0,0,27,0.0,1.0,3608
Region VII (Central Visayas),PH07,Siquijor,PH07061,Siquijor (Capital),PH0706106,84.8369,9266,3915,1863,745360.0,462449.5,281515.5,46.15,41,4,38,3,2,1,0,35,0.0789,0.9211,3606
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Milaor,PH0501721,32.8638,12701,3605,1535,702032.6,393779.2,269386.9,109.7,21,1,21,0,0,0,0,21,0.0,1.0,3605
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Villaba,PH0803751,151.3554,16106,4323,1599,863212.6,405805.7,223375.7,28.56,12,3,12,2,2,0,0,10,0.1667,0.8333,3602
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Tawi-Tawi,PH19070,Panglima Sugala (Balimbing),PH1907001,233.9602,6156,3600,1513,308725.7,220835.4,122706.9,15.39,13,2,13,0,0,0,0,13,0.0,1.0,3600
Region VIII (Eastern Visayas),PH08,Southern Leyte,PH08064,Macrohon,PH0806408,66.4304,9748,4195,2239,638035.1,399147.6,266681.0,63.15,7,1,7,1,0,1,0,6,0.1429,0.8571,3596
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Maimbung,PH1906605,45.0238,6776,4311,1900,355735.9,277713.1,153683.9,95.75,12,3,12,2,0,0,2,10,0.1667,0.8333,3592
Region VII (Central Visayas),PH07,Cebu,PH07022,Oslob,PH0702235,127.2753,12357,4102,1829,726452.1,400745.3,232736.0,32.23,26,3,24,3,1,0,2,21,0.125,0.875,3589
Region VII (Central Visayas),PH07,Bohol,PH07012,Candijay,PH0701211,92.7726,11602,4149,1814,790397.3,429405.9,241628.0,44.72,22,3,22,3,1,1,1,19,0.1364,0.8636,3583
Region V (Bicol Region),PH05,Camarines Norte,PH05016,Mercedes,PH0501607,118.0295,16697,3708,999,844190.7,328517.4,134787.3,31.42,29,3,29,1,0,1,0,28,0.0345,0.9655,3580
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Ditsaan-Ramain,PH1903624,18.4782,5423,3578,1928,394795.9,331346.2,230022.9,193.63,5,2,5,0,0,0,0,5,0.0,1.0,3578
Region III (Central Luzon),PH03,Bataan,PH03008,Morong,PH0300808,173.5992,13161,3575,1322,947863.7,494791.6,274039.0,20.59,10,2,8,0,0,0,0,8,0.0,1.0,3575
Region VI (Western Visayas),PH06,Iloilo,PH06030,Banate,PH0603006,55.1704,13272,3849,1639,818096.4,420615.2,245087.9,69.77,16,2,14,1,0,0,1,13,0.0714,0.9286,3574
Region VII (Central Visayas),PH07,Cebu,PH07022,Aloguinsan,PH0702204,62.685,11540,3570,1508,601027.2,310351.5,184056.9,56.95,18,2,17,0,0,0,0,17,0.0,1.0,3570
Region IV-A (Calabarzon),PH04,Rizal,PH04058,Jala-jala,PH0405807,43.6789,12793,3563,1160,866568.6,422760.2,189365.5,81.57,19,4,15,0,0,0,0,15,0.0,1.0,3563
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Tawi-Tawi,PH19070,Tandubas,PH1907007,220.679,5705,3558,1865,289848.2,227583.1,147907.9,16.12,8,2,8,0,0,0,0,8,0.0,1.0,3558
Region VII (Central Visayas),PH07,Cebu,PH07022,Tabogon,PH0702248,88.17,13376,3896,1590,744068.8,380094.7,225259.3,44.19,23,3,23,2,2,0,0,21,0.087,0.913,3557
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Naawan,PH1004320,65.793,7732,4444,1967,586080.1,456036.7,293549.8,67.55,10,1,10,2,0,1,1,8,0.2,0.8,3555
Region VII (Central Visayas),PH07,Bohol,PH07012,Guindulman,PH0701223,97.8706,11051,3946,1645,739440.0,405864.8,220591.2,40.32,20,2,20,2,0,1,1,18,0.1,0.9,3551
Region II (Cagayan Valley),PH02,Nueva Vizcaya,PH02050,Dupax del Norte,PH0205007,298.0773,15898,4630,1272,1042933.7,511744.0,209244.3,15.53,18,3,17,4,1,3,0,13,0.2353,0.7647,3541
Region VI (Western Visayas),PH06,Iloilo,PH06030,Badiangan,PH0603004,64.0888,11130,3541,1614,656506.0,336906.9,200866.3,55.25,11,1,10,0,0,0,0,10,0.0,1.0,3541
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Tawi-Tawi,PH19070,Sitangkai,PH1907005,27.8575,6057,3536,1647,354311.2,264994.4,158964.4,126.93,5,2,5,0,0,0,0,5,0.0,1.0,3536
Region II (Cagayan Valley),PH02,Isabela,PH02031,Benito Soliven,PH0203104,176.7597,15051,3527,858,872450.8,344418.0,120075.2,19.95,30,2,29,0,0,0,0,29,0.0,1.0,3527
Region II (Cagayan Valley),PH02,Isabela,PH02031,San Isidro,PH0203129,64.4048,13803,3527,1048,882706.8,416213.3,179778.2,54.76,15,2,15,0,0,0,0,15,0.0,1.0,3527
Region V (Bicol Region),PH05,Albay,PH05005,Malinao,PH0500510,109.3473,18090,4029,1151,862519.9,310521.3,128219.3,36.85,10,3,8,1,0,1,0,7,0.125,0.875,3525
Cordillera Administrative Region (CAR),PH14,Apayao,PH14081,Conner,PH1408102,704.1498,17018,3806,934,1034796.9,404956.7,154028.1,5.41,28,4,27,2,1,1,0,25,0.0741,0.9259,3524
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Margosatubig,PH0907317,84.388,8030,4402,1652,560215.1,388665.4,191925.6,52.16,10,4,10,2,1,0,1,8,0.2,0.8,3522
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Sominot (Don Mariano Marcos),PH0907340,112.3905,6019,3519,1410,304450.4,226720.2,128741.8,31.31,7,2,7,0,0,0,0,7,0.0,1.0,3519
Region VI (Western Visayas),PH06,Iloilo,PH06030,Leganes,PH0603026,31.5408,14414,4897,2500,1013129.3,647903.3,466287.2,155.26,9,3,7,2,0,2,0,5,0.2857,0.7143,3498
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Maguindanao del Norte,PH19087,Matanog,PH1908709,112.1169,5679,3498,1624,302128.0,230257.3,135426.0,31.2,35,8,32,0,0,0,0,32,0.0,1.0,3498
Region VI (Western Visayas),PH06,Antique,PH06006,Hamtic,PH0600608,135.5807,13181,3593,1535,844305.2,399918.0,230928.7,26.5,35,2,34,1,0,1,0,33,0.0294,0.9706,3487
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Norte,PH09072,Bacungan (Leon T. Postigo),PH0907226,250.6064,7408,3660,1244,393340.5,261892.8,138582.3,14.6,20,2,20,1,0,0,1,19,0.05,0.95,3477
Region VIII (Eastern Visayas),PH08,Biliran,PH08078,Cabucgayan,PH0807803,58.9955,7660,3472,1841,495306.0,327205.8,219582.4,58.85,6,2,6,0,0,0,0,6,0.0,1.0,3472
Region I (Ilocos Region),PH01,La Union,PH01033,Caba,PH0103309,46.7311,11999,3852,1569,760571.0,443019.3,250129.1,82.43,20,3,20,2,1,0,1,18,0.1,0.9,3467
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Gumaca,PH0405619,185.2752,16953,4843,1858,1056685.9,501771.7,280121.4,26.14,17,5,14,4,3,1,0,10,0.2857,0.7143,3459
Mimaropa Region,PH17,Marinduque,PH17040,Torrijos,PH1704006,173.577,9744,3786,1711,613261.8,356616.0,205182.9,21.81,23,2,23,2,1,0,1,21,0.087,0.913,3457
Region VI (Western Visayas),PH06,Iloilo,PH06030,Dueñas,PH0603017,92.0854,11141,3762,1698,669513.3,368082.4,221042.3,40.85,13,2,12,1,0,0,1,11,0.0833,0.9167,3449
Region V (Bicol Region),PH05,Sorsogon,PH05062,Magallanes,PH0506211,111.6072,9748,3542,1470,557741.4,296258.3,159103.3,31.74,37,3,37,1,1,0,0,36,0.027,0.973,3446
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Tawi-Tawi,PH19070,Sapa-Sapa,PH1907010,51.2246,5695,3446,1674,280039.1,218648.0,139429.8,67.27,13,3,13,0,0,0,0,13,0.0,1.0,3446
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Capoocan,PH0803714,110.5281,10752,3931,1822,558842.5,305498.1,187617.7,35.57,8,3,8,1,0,0,1,7,0.125,0.875,3440
Region III (Central Luzon),PH03,Bataan,PH03008,Bagac,PH0300802,189.0355,13250,3893,1279,1007012.4,549111.8,286075.6,20.59,19,2,17,2,1,1,0,15,0.1176,0.8824,3435
Region VIII (Eastern Visayas),PH08,Northern Samar,PH08048,San Roque,PH0804820,168.8588,8160,3425,1499,402904.7,230791.0,128616.9,20.28,8,2,7,0,0,0,0,7,0.0,1.0,3425
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Maguing,PH1903634,286.7117,5515,3419,1622,427030.4,335523.5,200878.1,11.92,4,2,4,0,0,0,0,4,0.0,1.0,3419
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,La Paz,PH0803728,94.8971,8409,3412,1533,473106.9,281365.3,163981.8,35.95,7,2,7,0,0,0,0,7,0.0,1.0,3412
Mimaropa Region,PH17,Marinduque,PH17040,Gasan,PH1704003,99.3699,9686,3408,1519,676439.2,373253.3,212215.5,34.3,9,2,9,0,0,0,0,9,0.0,1.0,3408
Region I (Ilocos Region),PH01,Pangasinan,PH01055,Labrador,PH0105521,103.0345,12942,3711,1331,789282.4,435989.6,227347.5,36.02,12,2,12,1,1,0,0,11,0.0833,0.9167,3402
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Tawi-Tawi,PH19070,Languyan,PH1907009,230.8995,6059,3887,1863,318615.8,254355.2,163055.2,16.83,8,2,8,1,1,0,0,7,0.125,0.875,3401
Region XIII (Caraga),PH16,Agusan del Norte,PH16002,Santiago,PH1600210,196.3302,7893,3400,1668,458215.3,283345.2,172496.8,17.32,10,1,10,0,0,0,0,10,0.0,1.0,3400
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,Calatrava,PH0604505,287.6863,11315,3399,1259,670226.3,305651.0,161260.9,11.81,40,3,40,0,0,0,0,40,0.0,1.0,3399
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Linamon,PH1003510,18.5162,6778,3774,1714,417518.0,311550.9,187798.9,203.82,10,2,10,1,0,0,1,9,0.1,0.9,3397
Region VIII (Eastern Visayas),PH08,Leyte,PH08037,Santa Fe,PH0803744,41.5539,7843,3393,1682,400108.6,243926.4,150384.7,81.65,6,3,6,0,0,0,0,6,0.0,1.0,3393
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Lanao del Sur,PH19036,Bubong,PH1903606,146.4623,5426,3393,1715,371132.2,300469.1,200909.5,23.17,4,2,4,0,0,0,0,4,0.0,1.0,3393
Region VIII (Eastern Visayas),PH08,Samar (Western Samar),PH08060,Villareal,PH0806021,130.8301,8556,3384,1431,449545.2,248437.1,136052.1,25.87,11,3,11,0,0,0,0,11,0.0,1.0,3384
Region VII (Central Visayas),PH07,Cebu,PH07022,Santa Fe,PH0702244,29.2989,8330,3679,1682,625001.3,409484.0,253505.6,125.57,13,2,12,1,0,1,0,11,0.0833,0.9167,3373
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,Manapla,PH0604518,99.4581,12391,3532,1516,824298.7,404857.3,209879.2,35.51,24,4,22,1,1,0,0,21,0.0455,0.9545,3371
Mimaropa Region,PH17,Oriental Mindoro,PH17052,Pola,PH1705210,168.3964,9370,3371,1405,591053.7,309550.7,163375.0,20.02,24,2,24,0,0,0,0,24,0.0,1.0,3371
Region VII (Central Visayas),PH07,Bohol,PH07012,Catigbian,PH0701213,108.356,9784,3688,1565,668745.4,379551.4,204467.5,34.04,22,3,22,2,1,0,1,20,0.0909,0.9091,3353
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Medina,PH1004319,101.5915,7374,3346,1759,629252.5,418964.9,288168.1,32.94,16,3,15,0,0,0,0,15,0.0,1.0,3346
Region VII (Central Visayas),PH07,Negros Oriental,PH07046,La Libertad,PH0704613,151.4823,11222,3508,1059,555773.9,260743.5,113063.6,23.16,21,4,21,1,1,0,0,20,0.0476,0.9524,3341
Region VI (Western Visayas),PH06,Iloilo,PH06030,Maasin,PH0603029,150.8698,10850,3332,1443,757584.0,388944.2,227103.6,22.09,14,1,13,0,0,0,0,13,0.0,1.0,3332
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH19,Sulu,PH19066,Omar,PH1906619,86.0582,5801,3807,1823,314669.4,250916.2,150848.4,44.24,8,1,8,1,0,0,1,7,0.125,0.875,3331
Region XIII (Caraga),PH16,Surigao del Sur,PH16068,Lianga,PH1606811,313.3038,8902,3526,1602,594203.3,343478.8,206182.5,11.25,18,5,18,1,1,0,0,17,0.0556,0.9444,3330
Region VII (Central Visayas),PH07,Cebu,PH07022,Asturias,PH0702206,140.5402,9533,3562,1651,781395.3,516199.6,374931.2,25.35,30,2,30,2,0,1,1,28,0.0667,0.9333,3324
Region V (Bicol Region),PH05,Camarines Sur,PH05017,Balatan,PH0501702,57.9829,10092,3307,1381,486259.9,236075.4,125363.7,57.03,21,4,21,0,0,0,0,21,0.0,1.0,3307
Region XIII (Caraga),PH16,Agusan del Norte,PH16002,Kitcharao,PH1600206,143.6059,7721,3301,1693,473024.2,296799.4,188575.4,22.99,15,3,14,0,0,0,0,14,0.0,1.0,3301
Region XI (Davao Region),PH11,Davao Oriental,PH11025,Tarragona,PH1102511,277.976,7761,3294,1077,437566.9,260225.0,125298.8,11.85,15,2,14,0,0,0,0,14,0.0,1.0,3294
Region II (Cagayan Valley),PH02,Isabela,PH02031,San Guillermo,PH0203128,386.5981,12523,3288,892,701883.1,325617.7,135727.9,8.5,10,3,9,0,0,0,0,9,0.0,1.0,3288
